댓글
"군인이라 이번 공연 못갔습니다…다음에 곡들을 더 만들고, 더욱더 유명해져서 꼭! 이세돌 단콘 열어주시기 바랍니다..! 그땐 무슨일이 있어도 참여하겠습니다 사랑합니다 이세돌️"
"와 이쁘게 봐주셔서 감사합니다... 우리 아이돌,,.,,"
내 아이돌이 스브스뉴스에도 뜨다니..ㅠㅠ 이번 썸넬 장식은 르르땅이 했네요 웅장해진다.. 이세돌 사랑해 이제 월클이야 ️️️
"처음엔 마냥 꺼려지고 이게 뭐지 싶었던 버츄얼아이돌이었는데… 어느새 그런 편견은 사라지고 주어진 것을 열심히 하고, 끊임없이 컨텐츠를 만들어내며 노력하는 멋진 모습을 보고 대단하다고 생각하고 있습니다! 이세계아이돌 화이팅!"
"매일매일 빛나줬던 이파리들의 아이돌이 언제 이렇게 아름다운 보석으로.....
진짜 매일 방송켜줘서 너무 고맙구 이파리들이 많이 사랑합니다!!!"
팬과 실시간 소통을 한다는게 큰 강점이지...
이세돌 준내 사랑해~
뉴스 보면서 눈물 나오는건 처음입니다 ㅠㅠㅠㅠ 이세돌 행복하자 ㅠㅠㅠㅠ 영택이형 사랑해
스브스까지 진출하다니 우리아이돌 최고다
"캬 뭐라 말할 수가 없네 그냥 좋다
화이팅하자 이세돌 킹애~~"
이세돌 진짜 사랑한다!!!!!!!!!!!!
"버츄얼 문화가 생소하고 낯설어도 문화의 다양성이 넓어진다는 면에서는 존중받고, 또 성숙한 팬 문화가 자리잡으면 좋겠네요. 스브스뉴스 감사합니다"
"우리 아이돌 너무 자랑스러워요️
앞으로도 쭉쭉 뻗어서 생방송 음악프로그램 출연 성사되시길 바랄게요!"
이세계 아이돌! 화이팅!! 
이세돌분들 멤버 한명한명이 다들 각자의 매력이있고 개성이 있으셔서 너무 좋은것 같아요 응원합니다 이세돌!
진짜 스브스 폼 미쳤다 100만 가야겠다 이건 진짜
"가상현실 기술력의 발전과 메타버스라는 단어를 가장 잘 표현하고 앞으로가 더욱 기대되는컨텐츠인것 같아요~
처음이라 어려운 도전이었을텐데 대단하구
멋있습니다!"
"진짜 영원했으면 좋겠다.. 나의 아이돌...
️"
"진짜 이세계 아이돌이 성장해서 이렇게 메타버스 페스티벌까지 열게 되었다는 게 무엇보다도 신기하고, 놀랍네요. 진짜 버츄얼 캐릭터로 이렇게까지 한국에서 뜰 거라고는 생각 못 했는데. 이세돌 화이팅입니다~"
우리 이세돌!  앞으로도 쭈욱 더 승승장구하기를 바랍니다! 스브스까지 나오다니 우리 아이돌 자랑스럽다!!
이세돌분들 너무 그냥 노래도 좋고 이쁘고 다 좋습니다 ㅠㅠ 킹아~~
일단 노래들이 너무 다 고퀄임.... 노래가 좋으니 관심이 갈수밖에
대부분의 욕하는 댓글 쓰는 사람들 구독목록 보면 다른 버튜버들 있음.. ㅋㅋ 참 투명해
기자님 컴퓨터가 많이 힘드신데도 인터뷰까지 해주셔서 정말 감사합니다
이세계아이돌 화이팅!! 앞으로도 팬들과 함께 더 많은것들을 이뤄나가요!
이세돌 자랑스럽다..!
이세돌이야 말로 진정한 아이돌이지!!! 최고다
그냥 단순히 캐릭터만 좋아하기 보다는 이세계 아이돌이 보여주는 스토리와 감동에 더 반해서 응원하는 듯 역시 아이돌은 스토리지 킹아 이세계 아이돌 화이팅!!!!
이세돌 화이팅!!!! 앞으로도 건강하고 행복하게 활동하길 늘 곁에서 응원하겠습니다!!!!
진짜 눈물나 ㅠㅠ
시대를 너무 앞서갔던 SBS...! 보컬로이드 가수... 아직도 기억한다!
"이세계아이돌 언제나 파이팅!!!!!!!!!
영원하자️"
이세계아이돌 사랑해 영원 하자
이세돌 최고~!!화이팅 입니다!
영원하라 이세돌!!!ㅠㅠㅠㅠㅠ
"처음엔 나도 정말 거부감이 많이 들었는데
결국에 안에 들어있는 사람이 항상 열심히 하는 모습을 보여주니까 정이 갈 수 밖에 없는듯"
이세돌분들 너무 항상 노력하고 성장하는 모습이 너무 아름답습니다 항상 행복하시면 좋겠습니다 
"가상 인물 아니고, 실제 인물이 말하고 노래하고 춤추는거에요~!! 카메라나 모션캡쳐 기술을 통해 표정과 몸짓을 캐릭터가 따라하는 거랍니다~~ 트위치라는 사이트에서 인터넷방송으로 매일 게임도 하고 노래도 하고 시청자들과 소통하고 있어요!!"
현장감 장난아니네 ㅋㅋㅋ 다음엔 꼭 가봐야지!!!
릴파님 스토리는 언제들어도 울컥하다.. 꿈 이루셔서 저희가 다 기쁘네요 버거님 말대로 음악방송 진출했으면 좋겠습니다!! 이세계 아이돌 화이팅~!!
우리 아이돌 너무 자랑스럽다..! 이세돌 영원해!!!️
이세돌 사랑해!!!!!!!!!!!!
우울하거나 슬플 때 이세돌이 많은 도움이 되었어요! 정말 감사하다고 전하고 싶네요. 앞으로도 승승장구 바라요
"1~2년전 사업 내용에 너도나도 메타버스 붙여서 
코인, nft, 주식으로 한탕 해 먹는 놈들만 봤었는데...  
이렇게 사람들이 좋아하고 콘서트 할 정도로 결과물을 보여주는 건 처음 보는 거 같아요.
노래도 되게 좋고 앞으로도 잘되면 좋겠네요."
이세돌 최고
이세돌 사랑해 처음부터 끝까지 함께하자!! 
"이세계 아이돌 자랑스럽다!
️"
"솔찍히 입덕하기엔 진입장벽이 있긴한데 이걸 크게 생각해서 와 버추얼걸그룹을 덕질해야겠다 라는 생각으로 입덕하는게 아니라 
반대로 단순히 흔히들 보는 유튜브나 트위치같은 인터넷방송을 본다라고 생각하고 자연스럽게 입덕하게되는게 아닐까싶음 
나는 단순히 인터넷방송을 보는데 방송인이 게임도하고 컨텐츠도 하고 시참으로 소통도 하고 커버곡도 내고 오리지널 앨범곡도 내다보니
자연스럽게 멜론이나 유튜브로 스밍도 돌리고 응원도 하게되는 그런 자연스러운 입덕이 가능하게되는거같네요"
이세돌 화이팅!!!
서사가 너무 감동적이네요. 항상 응원합니다. 파이팅!
이세돌 너무 자랑스럽다
자랑스러운 이세돌!
진짜 이세돌 성공 확률이 0.02퍼센트밖에 안됬었을 때 이렇게나 성공할 줄 누가 알았겠음…. 진짜 자랑스럽다 이세돌
우리 아이돌이 점점 성장해가는 모습... 너무 감격스럽습니다ㅠㅜㅠ 최고의 페스티벌이였고 잊지 못할겁니다 이세돌 파이팅!!!!! 추석 선물 감사합니다
이렇게 스브스에서 이세계 아이돌 보니 반갑고 감격스러워요!ㅠㅠㅠ 자랑스러운 이세돌 언제나 응원해!🩷🩵
한 스트리머의 컨텐츠로 시작했지만 이세돌 오디션부터 데뷔까지의 여정을 보면 방식만 다르지 오디션 프로그램으로 결성한 현실 아이돌하고 별 다를게 없지 분명한 한계가 있음에도 여기까지 와준게 정말 대단하다
진짜 개재밌게놀았다 ㅋㅋ
와 처음보는 팬덤이네요 이세계아이돌?? 버추얼 문화가 자리잡으면서 이렇게나 유명해지다니 킹애 참 모시깽이하네요 앞으로 활동 화이팅입니다
진짜 엄청난 성장 너무좋다
와 지린다... 화이팅!!
자신의 눈에 익숙하지 않고 이상하다 생각되시면 그저 이런 문화가 생성되고 있구나 하고 지나가시면 됩니다. 단지 누군가가 익숙지 않은 것을 좋아한다고 그것을 비난한다면 그것은 그저 혐오에 불과합니다. 새로운 문화가 생성되는 과도기라 여겨주시고 누군가가 사랑하는 대상을 폄하하는 것을 멈춰주세요:) 그리고 항상 행복하시길 빕니다
"스브스에도 진출한 이세돌!!
 이번 이세페  고생많으셨습니다!! 
더 높은 세상을 향해 앞으로도 화이팅!! 항상 응원합니다️
스브스기자님도 감사합니다!"
이세돌 팬은 아니지만 버츄얼 팬으로써.. 더이상 이런걸 보고 눈살을 찌푸리는게 아닌 함께 존중해주고 즐겨줬으면 좋겠어요..
이세돌사랑해!!!!!!!!!
진짜 유명해졋다...
"우리 이세돌 너무 멋지다 흑흑... 진짜 우리 가수 짱 멋져ㅕㅕ 앞으로도 우리 오래오래 봐요ㅠㅠㅠ 이세페 오셨던 아티스트분들도 너무너무 멋지셨습니다 정말 감사드립니다!!!
근데 인터뷰 댕웃기네 진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 인터뷰 영상보면 왁굳형이 너무 강해보여서 이세돌이 오히려 무난해보이넼ㅋㅋㅋㅋ 여튼 이세돌 사랑해...🩷🩵

릴파넴.. 전 입덕 했을 때 부터 당당한 이파리예여.. 그리고 버건니의 야망이 꼭 이뤄지길 흑흑"
우리 아이돌 어디까지 성장하는거야..
이세돌 영원해라!!
이세돌 최고 
자랑스럽다 이세돌 쭉쭉 상승세를 기록하길!!!!
"스브스 분들 감사합니다

이세페에 출연해주신  모든 아티스트분들도 이세계페스티벌이란것은 낯설으셨을건데 참가해주셔서 모두 모두 감사했습니다.
참가하셨었던 아티스트팬분들도 저희를 좋게 봐주셨었다고 들어서 기뻤습니다."
"정말 감동적인 페스티벌 무대였다.....
최고야 이세돌!!"
우와... 이세돌을 스브스에서 보다니... 저도 진짜 언젠가는 실제 음악 방송에  나오길 기대해봅니다 
이세계 아이돌이라는 아이돌을 이번 뉴스를 통해 새롭게 알게되었네요 시대가 빠르게 바뀌는 만큼 우리의 인식 또한 바뀌어야하고 이세계 아이돌의 멋진 미래를 응원하겠습니다 킹아!
이렇게 저희 아이돌들을 좋아해주시고 인터뷰까지 해주셔서 너무 감사합니다 ㅠㅜ 스브스 화이팅 이세돌 화이팅!!
"역시 ""대 이세돌"" 최고다!!! 킹아~~~~!!!!! ️🩵"
"스브스 뉴스에 이세돌이 나올거라고 상상도 못했습니다ㅠ
우리 아이돌에게 관심가져주셔서 감사합니다!!!
스브스 인기가요에 이세돌이 언젠간 등장하길!!"
릴파님 ㅠㅠ 못다한 꿈을 이루고 잘 되셔서 다행이에요. 열심히 하는 그대들 행복하세요~
너무 자랑스럽다 우리 아이돌 ㅠㅠㅠㅠ 앞으로도 더 승승장구하고 행복한 일만 가득하게 해줄게요🩷🩵
형 진짜 사랑해~ 월클하자 이세돌!!
"몇달전만 해도 나도 저 악플러들과 같은 생각이였다... 입덕하는건 한순간
 이세돌 사랑해★"
차원을 쥰내 넘어서 이세계 아이돌 화이팅~~!! 항상 응원하고 사랑합니다.
우리 이세돌 너무 자랑스럽습니다!!! 음악 생방송까지 가는 그날까지 응원할게요️️️
챠니챠니 인터뷰 와중에도 귀염 뿜뿜하시네
ㄹㅇ로 차원을 넘었다☆
이곳과는 다른 비쥬얼을 가지지만 그 누구보다 솔직하게 진심어린 마음으로 항상 마음을 표현하는 모습에 팬이 되었습니다!! 페스티벌 너무 잘 봤습니다!!! 좋은 뉴스 좋은 인터뷰 너무 감사합니다!!!!!!
"우리가 왤케 이세계 아이돌에 열광하는지 궁금하신가요? 단 한 마디로 설명하자면...
''아이돌은 스토리다.'' 이 한 마디로 설명 가능합니다."
그래... 응원한다
한 이파리로서 너무 자랑스럽네요
"안녕하세요! 본 영상에서 햄버거모자쓰고 인터뷰한 본인입니다!!

이번 이세계 페스티벌을 단순 오타쿠들의 모임이라고 생각하지 말아주시고 우리나라 기술이 이만큼 발전했다, 앞으로의 버츄얼 공연의 첫 도약이라고 생각해주시면 좋을것같습니다!"
"진짜 미쳤다ㅏㅏㅏㅏ""아이돌은 스토리다""진짜 마네자 명언 연전연승 ㅋㅋㅋㅋㅋㅋㅋ"
이번 콘서트에 바쁜 일정 등 여러가지 이유로 참가하는데 고민이 많으셨다고 들었는데 팬들에게 특별한 선물이 됐습니다 인터뷰해주신 SBS측에도 감사드려요
여기까지 달려온 우리 아이돌이 정말 자랑스럽다 고생했다 증말
형 긴장한거 다보여 ㅋㅋㅋㅋㅋㅋ
"30대 중반인 저도 처음엔 이런거 왜보나... 했었는데, 그땐 이런 버추얼 아이돌의 개념조차 자세히 몰랐었던 때 였습니다. 
매번 한번씩 눈에 띌때마다 무시했었는데, 생기넘치는 이세돌의 모습에 호기심으로 뮤비와 이세돌이 등장하는 여러 동영상을 보다보니 이세돌의 스토리를 알게되었고 어느세 저도 팬이되어있고 응원을 하고 있더라구요. 
과거엔 저도 알량한 가치관을 가지고서 겉으론 다양성 존중한다 말하곤 마음속으로 이런 덕질을 하는사람을 낮잡아 봤었는데, 많이 반성하게 되고 다른 사람들의 다양성을 정말로 존중하게 되었습니다."
뭔가 내가 생각하는 음지세상이랑 완전 다른 느낌이네요. 긍정적인 에너지가 느껴진다랄까? 화이팅
그냥 다들 그렇구나 하고들 넘어가지.. 좀 응원하는사람들은 응원하라하고 이런게 있구나 별로다 하고 보고가던가 왜 욕들을 하고 서로들 보기 안 좋게 싸우냐
레전드다.. 이세계아이돌 맨날응원해 파이팅 
"진짜 단순히 컨텐츠로 시작됐던 이 프로젝트가 만들어낸 이세돌.. 점점 성장해가면서 많은 분들께 좋은 모습을 보여줄 수 있는거 같아서 너무 좋네요 
엄청난 버팀목이 되어주는 우리 왁굳형 너무 감사하고 이세돌분들도 항상 너무 좋은 모습으로 저희한테 다가와주셔서 너무 감사합니다 
덕분에 많은 늘 많은 에너지 받고 있습니다 킹아!"
"댓글 쓰는거보면 일반인도아니고 그냥 커뮤망령,안티들인데 너무 어그로 끌린다 병먹금 좀 하지"
왁굳형 진짜 형은 전설이야...
이파리분들 아미가 응원합니다 
"이세돌클라스 대단하다~!
이제는 이런 다양성도 많아지고있으니까
버츄얼가지고 뭐라하는게 아니고
이런 다양성을 존중하고 이해해주는 날이 올수 있겠죠"
자랑스러버ㅠㅠㅠ!! 영원이 함께가자 이세돌! !🩷🩷
이세돌은 찐이다
"이뭔씹 - 정상
이세돌 사랑해요 -정상
악플 및 비난 - 비정상"
공중파 음악프로그램 까지 진출하는 이세계 아이돌이 되길 진심으로 응원합니다!!!
우리 아이돌 화이팅!🩷
캬... 이거야
"이세계아이돌 분들도, 팬 여러분들도 지난 2년이라는 짧지 않은 시간 동안 좋은 일도, 힘든 일도 많았을 테지만
끝내 이세계 페스티벌이라는 큰 무대에서 만나 시청자 수, 영상 조회수처럼 늘 숫자로만 보던 서로가 실재함을 확인하고 좋은 추억을 남긴 것 같아 보기 좋네요
주류 비주류를 떠나서 열정을 갖고 노력해서 꿈을 이루어내는 사람, 그리고 그 사람들을 격려해주는 사람은 응원 받아 마땅합니다"
"이게...이세돌 파고나서 함부로 멸시하지 말자는 교훈을 얻었음.

내가 닫힌사람이었나 싶고..좀 더 열린 눈으로 세상을 바라보려고 노력하게됐습니다"
"와, 정말 세상이 바뀌는 것이 느껴지네요. 저는 이런걸 처음 보지만 참 보기 좋네요. 킹아~"
야외 페스티벌에 뉴스까지 뜬 이세돌 폼 미쳤따! 킹아!!
"존중받고 당당해질 수 있는 그날까지...
우리 이세계아이돌은 성장할 것 입니다.. "
처음에는 버츄얼 아이돌을 좋아한다는게 가상의 것을 좋아한다고만 느껴질수도있는데 오래보면 볼수록 멤버 한명 한명이 너무 인간적이고 따뜻합니다! 겉으로 보여지는 아바타를 좋아하는 것도 물론 있겠지만 진심으로 이 그룹을 응원하는 마음까지 들게 만든건 아바타 뒤에 있는 따뜻한 사람들이었던것같아요 ㅎㅎ ㅠㅠ
3:37 진짜 아이돌분들에게는 너무 좋은 기술인거 같아요..
그냥 형은 신이야 인정해 재발
보면볼수록 각자의 매력이 돋보이는 이세돌에 어느순간 빠져서 구독을 망설이던 음원사이트도 구독하고 처음으로 콘서트도 가봤어요. 콘서트장 열기가 아직도 잊혀지지 않고ㅠㅜ 정말 너무나 즐거웠습니다...이세돌 너무너무 사랑해! 르르땅 너무너무 사랑해!
"이세돌이 뭔지는 이제 알게됐는데 진짜 신기하네요. 시대가 바뀌고 있구나..
앞으로도 많은 발전을 통해서 새로운 시대에 맞는 좋은 문화 만들어갔으면 좋겠네요~~"
이렇게까지 이세돌이 성장할 줄은 몰랐다..이세돌분들 관해서 다뤄주셔서 감사합니다
왜 이렇게 성장한거냐 이세돌.ㅠㅠㅠ
직접 VR챗까지 오셔서 인터뷰해주셩서 감사합니다. 이런 날이 오다니 꿈만 같다
"정말 정말 멋지고 사랑스러운 우리 이세돌들!!
정말 주르르! 고세구! 징버거! 아이네! 릴파! 비챤! 
정말 고생하면서 달려온 그들의 여정을 앞으로도 지켜보기를 원합니다! 
정말 사랑합니다!! "
아..앗.. 내 눈물버튼...ㅠ
우리 아이돌들은 이제 시작입니다. 이세돌 사랑해 !
이세돌 폼 미쳤다
정말 신기한 광경이네요. 현실세계에서의 아이돌뿐만 아니라 저런 방법으로도 인기가 많을 수 있다는 사실을 보여준 것 같습니다. 저 이세계 아이돌이란 분들을 처음 보지만 저런 시도는 충분히 계속 되어야 한다고 생각 합니다! 킹아!
우리 형이 정말.. 대단한 사람이지
진짜 우리 아이돌 최고다...
이게 아이돌이다...
와 우리 이세돌 너무 자랑스럽습니다!!! 영원하자!! ️
"좋은 인터뷰 좋은 취재 감사드립니다.
아직 세상이 이해하지 못하는 시선이 많더라도, 누군가는 씹덕이라고 욕하더라도.
우리의 유대와 사랑이 무엇보다 진실됨은 우리 이파리와 이세돌분들 모두가 알고 있습니다.
그것으로 충분합니다."
"우리아이돌이 이제 뉴스에까지 나오다니
진짜 많이 성장했다"
요즘 시대가 많이 바껴서 좋다 
자랑스러운 우리 아이돌 이세돌!!!
현장에 2만명 넘게 왔던데 다른아이돌 콘서트 10번도 넘게 가봤지만 이번이 최고였어요ㅠㅠ
다시 생각해도… ㅋㅋㅋㅋ 레전드다
캬 미쳤다
점차 많은 사람들이 알아간다는 점에서 뿌듯하네요! 흔히 말하는 덕질이라는 개념에서는 아이돌을 좋아하는 팬분들 모두가 같기 때문에 그 마음을 이해해주고 같이 좋아해주신다면 감사할 따름입니다 버츄얼아이돌의 가장 큰 장점은 소통이라고 할 수 있겠네요! 실시간 소통과 다양한 컨텐츠를 통해서 청자가 공감을 할 수 있는 요소들로 다가오니깐요! 많은 관심 부탁드리겠습니다
진심으로 늘 같은 곳만을 바라봐주는 이세계 아이돌 사랑합니다!!!!!! 앞으로도 스브스뉴스같은 좋은 기회 잡으면서 점점더 넓고 다양한 길로 뻗어갔으면 좋겠어요 음방 꼭 가보자!!! 이세계 아이돌은 이제 시작이다 화이팅~~️
"욕을 할 필요가 있나?
저분들도 실력파고 팬들도 많아서 여러분들에게 까일 정도는 아니라고 생각하는데 방구석에서 악플달고 그러는 너희들하고는 비교 할 수가 없지"
버츄얼은 아직 적응하기 힘들지만 노래는 기가막히게 좋아요 굿굿 다들 실력파 뛰어난 가수들인듯 앞으로도 이런 노래들 자주만들어주세요 길가다가 듣고 처음에는 버츄얼 인줄 몰랐음
와 머야머야!!!! 우리 아이돌 취재해주셔서 고맙습니다!!! 이세돌 화이팅 ㅜㅜㅠㅠㅠ️
나만 알던 작은 아이돌 스트리머 같던 이세돌 이렇게 성장하고 점점 더 대중에게 알려지는 모습을 보니 내가 다 뿌듯하고 우리 아이돌이 더더욱 자랑스러운 마음이 드네요 언제나 멋진 이세돌 응원합니다!! 킹아️
"세상이 바뀌고 기술이 발전한 만큼 여러 문화도 생기고 같이 발전하고 있는 거라고 생각합니다. 빠른 발전과 변화에 부담과 거북함을 느끼시는 분들도 있지만 '세상이 이런 식으로 발전하고 있구나, 요즘 이런 것도 하는구나'하고 금정적으로 받아들이셨으면 좋겠는 바람이에요 저도 아직 익숙하진 않지만 새로운 꿈을 꾸고 가상 세계에서 시공간 제약을 받지 않고 서로 추억도 쌓고 새로운 문화가 생긴다는 게 좋은 발전 방향 같다고 느낍니다 :) 이세돌 외 다른 버츄얼 분들도 항상 화이팅~!"
이세돌 영원해!!!!
"항상 성장해나가는 이세계아이돌!! 언제나 팬분들과 재밌게 놀고 때로는 감동적인 모먼트도 보여주시면서 같이 소통해가며 즐겁게 지낼 수 있다는게 정말 큰 매력인 것 같아요!
이렇게 인터뷰까지 하시는걸 보니 넘 뿌듯하고 감동적입니다 ㅠㅠ 인터뷰해주신 스브스 관계자분들 감사합니다!!
처음 봐주시는 분들도 이쁘게 봐주시면 좋겠네요!! 정말 멋지고 자랑스러운 이파리들의 아이돌입니다!!!"
"이세계 아이돌의 최강의 장점은 아무래도 무한한 소통이죠. 
매일매일 맴버들과 소통하는 즐거운 시간들과 누구보다 팬들에게 감사하며 아끼는 이세돌 분들이기에 이렇게 많은 사랑을 받는거라 생각합니다.
이세돌 화이팅!!!"
눈물난다 ㅠㅠ 이세계아이돌 더 흥해라
차원을 넘어 우리에게 달려온 우리의 아이돌 이세돌 앞으로도 크고 길게 가자!!!!
"영상 자체가 너무 깔끔하네요
인터뷰의 질문과 답변도 너무 좋고 건강하고
서로 존중하는 이 모습이 정말 보기 좋습니다.
스브스 고마워요!! "
버츄얼 아이돌의 좋은 사례가 되어주었으면 좋겠네요. 이런 사례부터 시작해서 케이팝처럼 새로운 문화가 정착하는거죠
영원한 우리 이파리들의 이세게아이돌 정말 사랑해ㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔ
"모두가 응원하는 그날까지...
이세돌 화이팅!!!!️"
"스브스분들께서 저희 이세계아이돌을
인터뷰 해주셔서 감사합니다! ️
존중해주시고 소개부터 질문 답변 전부
좋았습니다! 스브스 감사합니다! "
이해안될 수 있고 생소할 수 있는데 굳이 욕을 해야하나….?본인들 취향이랑 안맞다고 일단 무지성으로 욕부터 쓰는 건 좀 생각없어 보이네…..ㅋㅋ최소한의 존중은 필요해보임
왁굳형은 신이야.....
이세돌 영원히~
ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ우리 아이돌들 사랑해!!!!!!!!!
이세돌 관심 가져주시는 모든 분들께 너무 감사드립니다. 응원하는 입장에서 요즘 하루하루가 믿기지 않고 꿈만 같아요! ㅎㅎ 이세돌 화이팅!
릴파님은 정말 천사입니다. 제가 보컬팀장으로 있는 크루에서 '릴파님이 개사했던 노래(원곡 일어)를 2차 개사해서 단체곡 만들고싶다는 내용'의 메일을 보냈는데 아주 빠르게 사용해도 된다고 답장해주셨어요. 솔직히 저런 대스타분들은 답 안해주거나 엄청 늦게 답해주시는데 저 정말 감동했어요.. 다른 멤버들도 너무너무 좋아합니다.
이파리로써 저 자리에 있었던 사람으로써 너무나 자랑스럽다
"우리 애들 스브스뉴스에도 올라오고 진짜 많이 컸구나ㅠ 개인스트리머의 컨텐츠 중 하나로 시작되었지만 2년간 서사도 많이쌓이고 팬들과의 추억도 많이 쌓였습니다ㅠ 이제 어디가서 아이돌이라고 자랑 못할게 없어졌어요!
SBS 좋은기사와 취재 감사합니다!"
"버츄얼 아이돌은 아니지만 크로스오버 그룹 포레스텔라도 나이 제한 없이 오디션을 통해 만들어진 그룹이잖아요? 수년 간의 노력 끝에 한국의 중심이 되었고... 이세계아이돌도 이제는 한국 버츄얼 아이돌뿐만 아니라 한국 가요계의 새 역사를 쓰는 그런 아티스트가 되지 않았나 개인적으로 생각합니다! 음악은 정말로 연령대 상관없이 누구나 즐기게 해주는 힘이 있는 거 같아요!! 연령, 장르 상관없이 한국의 아티스트들을 응원합니다! 대한민국 음악 화이팅!!! "
나도 처음 봤을때 나라 망했다고 욕했지만 조금만 알아보니 내가 욕할 이유가 없다는걸 느껴버리고 그냥 덕질함
"어머! 우리 아이돌이 스브스에!!! ㅎㅎㅎㅎㅎ 
인터뷰에 랙이 넘 아쉬운 팬 1인."
