Comments,Replies
"2000만!!!!
 앞으로 1억까지 ㄷㄱㅈ!!! ","2000만!!!!
 앞으로 1억까지 ㄷㄱㅈ!!! "
"비챤, 고세구, 주르르 아바타를 영상 촬영에 적절하게 사용할수 있도록 여러 수정과 기능추가 , 전체적인 퀄리티 조정을 담담했습니다 
몇몇 의상들 새로운 컴포넌트 넣어서 작업도 새로 해보고, 뮤비 분위기에 맞춰 표정도 새로 만들고 단순 의상 교체외적으로 이것저것 전체적으로 작업한건 정말 많았네요
저와 같이 뒤에서 묵묵히 작업 꾸준히 열심히 하던 기술 스탭분들 정말 고생 많았습니다 고생한 덕분에 레젼드가 탄생했네요
첫 뮤비까지 열심히 고생하신 아이돌분들 사장님 다들 수고 많으셨습니다 (_ _) 앞으로도 별탈없이 함께하고싶습니다 홧팅","비챤, 고세구, 주르르 아바타를 영상 촬영에 적절하게 사용할수 있도록 여러 수정과 기능추가 , 전체적인 퀄리티 조정을 담담했습니다 
몇몇 의상들 새로운 컴포넌트 넣어서 작업도 새로 해보고, 뮤비 분위기에 맞춰 표정도 새로 만들고 단순 의상 교체외적으로 이것저것 전체적으로 작업한건 정말 많았네요
저와 같이 뒤에서 묵묵히 작업 꾸준히 열심히 하던 기술 스탭분들 정말 고생 많았습니다 고생한 덕분에 레젼드가 탄생했네요
첫 뮤비까지 열심히 고생하신 아이돌분들 사장님 다들 수고 많으셨습니다 (_ _) 앞으로도 별탈없이 함께하고싶습니다 홧팅"
"갠적으로 군무씬 대박이다
그리고 전체적인 뮤비 색감 자체도 너무 곡이랑 잘 어울려요
우리 형아 진짜 고생 많았다!!!!!","갠적으로 군무씬 대박이다
그리고 전체적인 뮤비 색감 자체도 너무 곡이랑 잘 어울려요
우리 형아 진짜 고생 많았다!!!!!"
"기억나? 우리가 처음 만난날 내게 오던 그 미소가
마치 날 알고있던 것처럼 매일 스쳐지나가던 바람처럼 가끔은 우리 사이가 멀어질까 혼자남아버리는 상상을 해 oh 이런 나를 잡아줘 우리 처음 만난날처럼 내가 너를 꼭 찾을수있게 늘 꿈에서만 그리던 너와 함께할 모든날들이 희미 해지기전에 나 시간이 없어 지금 닿을수는 없을 거리일지라도 난 너와 함께 있다는 기분이 들어 널 주처했던 걸음 마음 왜이리 바보같은지 자신이없어 늘 같은곳을 바라보던 너의 그 눈이 좋아 변한 세상에서 너만은 그대로 있어줘 your my sunshine 늘 같은곳을 헤매이던 너와 내 시간 속에 널 잊어버린다 해도 다시한번 너를 만나러 갈테니까
(간주중)
조금씩 가까워지고 있어 느껴지니 보이진 않아도 한조각 마지막 퍼즐처럼 너 하나로 내 세상이 맞물려가 어쩌면 넌 사라질 무지개처럼 날두고 떠날지도 모르지만 이런 나를 잡아줘 우리 처음 만난날처럼 내가 너를 꼭 잡을수있게 늘 꿈에서만 그리던 너와 함께할 모든날들이 더 희미해지긴전에 나 시간이 없어 지금 닿을수없는 거리일지라도 난 너와 함께 있다는 기분이 들어 날 주처했던 걸음 마음 너의 세상이 끝난다 해도 기다릴꺼야 차원을 넘어 너에게 달려가고있어 지금 내심장 소리가 터질것만 같아 들어봐 기억해줘 이 세상속에 멈춰있는 너와 내 시간 속에 어쩌면 이건 우리의 처음이자 마지막 사랑 일테니까
(일테니까)
기억해줘
이꿈속 너와 함께했던 시간은 진짜 일까 늘 간직하던 약속들 그대로 just waiting for you
Your my sunshine 이세상속에 멈춰있는 너와 내 시간 어쩌면 우리의 처음이자 마지막 사랑일테니까
이세돌 리와인드 2026만회 축하합니다~","기억나? 우리가 처음 만난날 내게 오던 그 미소가
마치 날 알고있던 것처럼 매일 스쳐지나가던 바람처럼 가끔은 우리 사이가 멀어질까 혼자남아버리는 상상을 해 oh 이런 나를 잡아줘 우리 처음 만난날처럼 내가 너를 꼭 찾을수있게 늘 꿈에서만 그리던 너와 함께할 모든날들이 희미 해지기전에 나 시간이 없어 지금 닿을수는 없을 거리일지라도 난 너와 함께 있다는 기분이 들어 널 주처했던 걸음 마음 왜이리 바보같은지 자신이없어 늘 같은곳을 바라보던 너의 그 눈이 좋아 변한 세상에서 너만은 그대로 있어줘 your my sunshine 늘 같은곳을 헤매이던 너와 내 시간 속에 널 잊어버린다 해도 다시한번 너를 만나러 갈테니까
(간주중)
조금씩 가까워지고 있어 느껴지니 보이진 않아도 한조각 마지막 퍼즐처럼 너 하나로 내 세상이 맞물려가 어쩌면 넌 사라질 무지개처럼 날두고 떠날지도 모르지만 이런 나를 잡아줘 우리 처음 만난날처럼 내가 너를 꼭 잡을수있게 늘 꿈에서만 그리던 너와 함께할 모든날들이 더 희미해지긴전에 나 시간이 없어 지금 닿을수없는 거리일지라도 난 너와 함께 있다는 기분이 들어 날 주처했던 걸음 마음 너의 세상이 끝난다 해도 기다릴꺼야 차원을 넘어 너에게 달려가고있어 지금 내심장 소리가 터질것만 같아 들어봐 기억해줘 이 세상속에 멈춰있는 너와 내 시간 속에 어쩌면 이건 우리의 처음이자 마지막 사랑 일테니까
(일테니까)
기억해줘
이꿈속 너와 함께했던 시간은 진짜 일까 늘 간직하던 약속들 그대로 just waiting for you
Your my sunshine 이세상속에 멈춰있는 너와 내 시간 어쩌면 우리의 처음이자 마지막 사랑일테니까
이세돌 리와인드 2026만회 축하합니다~"
"이세돌 진짜 예전부터 봤는데 진짜 엘범이 나올지도 몰랐구... 이렇게 성공해서 어느새 유튭 조회수 2000만이라니.. 내가 다뿌듯하당.... 지금까지 힘내와 달려온 이세돌들 너무 축하하고 앞으로도 쭉 힘내요!! 

리와인드 2000만 킹아!!!","이세돌 진짜 예전부터 봤는데 진짜 엘범이 나올지도 몰랐구... 이렇게 성공해서 어느새 유튭 조회수 2000만이라니.. 내가 다뿌듯하당.... 지금까지 힘내와 달려온 이세돌들 너무 축하하고 앞으로도 쭉 힘내요!! 

리와인드 2000만 킹아!!!"
"단순 팬아트로 그렸던 그림이 이렇게 기념비적인 데뷔곡의 뮤비 썸네일로까지 사용이 되어부리다니.. 너무 영광스럽네요
제 썸네일을 보고서 한분이라도 더 이 뮤직비디오를 봐주신다면 정말 행복할 것 같습니다ㅠㅁㅠ
왁굳님하고 이세돌분들, 이 외에 뮤비 촬영하고 편집에 도움주신 분들 전부 고생 많으셨고 멋진 뮤직비디오 만들어주셔서 감사합니다!
이세계 아이돌 데뷔 정말 축하드리고 앞으로도 왕 응원하겠습니다 왕아~!!","단순 팬아트로 그렸던 그림이 이렇게 기념비적인 데뷔곡의 뮤비 썸네일로까지 사용이 되어부리다니.. 너무 영광스럽네요
제 썸네일을 보고서 한분이라도 더 이 뮤직비디오를 봐주신다면 정말 행복할 것 같습니다ㅠㅁㅠ
왁굳님하고 이세돌분들, 이 외에 뮤비 촬영하고 편집에 도움주신 분들 전부 고생 많으셨고 멋진 뮤직비디오 만들어주셔서 감사합니다!
이세계 아이돌 데뷔 정말 축하드리고 앞으로도 왕 응원하겠습니다 왕아~!!"
와 진짜 보면서 소름이 쫙 돋을정도로 너무 잘나왔어요...ㅜㅜㅜㅜ 형은 최고야ㅜㅜㅜㅜㅜ 이세돌최고야ㅜㅜㅜㅜㅜㅜ,와 진짜 보면서 소름이 쫙 돋을정도로 너무 잘나왔어요...ㅜㅜㅜㅜ 형은 최고야ㅜㅜㅜㅜㅜ 이세돌최고야ㅜㅜㅜㅜㅜㅜ
"리와인드 2000만 조회수 축하드립니다!
앞으로도 쭉 성장하며 
좋은곡들 많이 내주세요!
언제나 최고를 향하는 
이세계아이돌!
다시한번2000만 축하하고 언제나 화이팅입니다!
킹아!
️","리와인드 2000만 조회수 축하드립니다!
앞으로도 쭉 성장하며 
좋은곡들 많이 내주세요!
언제나 최고를 향하는 
이세계아이돌!
다시한번2000만 축하하고 언제나 화이팅입니다!
킹아!
️"
"2000만 축하합니다
이세돌을 알게 된 계기가 된 곡이며 그 중심을 지키는 곡으로 지금까지의 이세돌을 있게 한
노래 입니다!!

정말 다시 한번 축하합니다!!
몇번 들으러 계속 오지만 더 자주 들으러 오자구나!!","2000만 축하합니다
이세돌을 알게 된 계기가 된 곡이며 그 중심을 지키는 곡으로 지금까지의 이세돌을 있게 한
노래 입니다!!

정말 다시 한번 축하합니다!!
몇번 들으러 계속 오지만 더 자주 들으러 오자구나!!"
이세돌 왁굳형 진짜 고생많으셨습니다!!!!!!!!나 진짜 울거같아..,이세돌 왁굳형 진짜 고생많으셨습니다!!!!!!!!나 진짜 울거같아..
