Comments,Replies
"난 요즘노래 안듣는단 말임.. 늘 2018, 2019년도 멜론차트만 들었는데 유일하게 정착하게 된 애들임.. 3세대 아이돌느낌 물신나서 정말정말 좋음..","난 요즘노래 안듣는단 말임.. 늘 2018, 2019년도 멜론차트만 들었는데 유일하게 정착하게 된 애들임.. 3세대 아이돌느낌 물신나서 정말정말 좋음.."
거짓말 안치고 수험생때 수능특강보다 더 열심히 봤다,거짓말 안치고 수험생때 수능특강보다 더 열심히 봤다
"여러분 지금 우리 애들 인기 너무 많아져서 특정 커뮤니티에서 좌표 찍고 악플 달러 오시는거 같습니다~~
우리 애들 실력 플리들이 젤 잘 아는데 아무것도 모르고 욕만 하는 애들 댓글이 뭐가 무섭나요ㅋㅋㅋㅋ이게 우리 돌고래가 말해준 “바이럴 마케팅” 이라는거겠죠?
조회수 올라가면 행복해지는건 우리입니다!반갑게 환영하고 깔끔하게 신고해요
이 좋은날 행복하게 마무리해요!!🥹","여러분 지금 우리 애들 인기 너무 많아져서 특정 커뮤니티에서 좌표 찍고 악플 달러 오시는거 같습니다~~
우리 애들 실력 플리들이 젤 잘 아는데 아무것도 모르고 욕만 하는 애들 댓글이 뭐가 무섭나요ㅋㅋㅋㅋ이게 우리 돌고래가 말해준 “바이럴 마케팅” 이라는거겠죠?
조회수 올라가면 행복해지는건 우리입니다!반갑게 환영하고 깔끔하게 신고해요
이 좋은날 행복하게 마무리해요!!🥹"
이제 버츄얼이니 뭐니 아이돌이니 뭐니 다양하게 수용받는 세상이 오는거지 이번에 1등한게 신기해서 찾아보니 버츄얼과 실제 아이돌과 덕질엔 별로 차이가 없더만? 노래도 좋으니 더 잘되길,이제 버츄얼이니 뭐니 아이돌이니 뭐니 다양하게 수용받는 세상이 오는거지 이번에 1등한게 신기해서 찾아보니 버츄얼과 실제 아이돌과 덕질엔 별로 차이가 없더만? 노래도 좋으니 더 잘되길
"ㅋㅋㅋ망했다고? 미래가 없다고?

그럴리가, 네가 보고 있는게 미래이며 네가 느끼고있는 이 감각이 앞으로의 지향점이다","ㅋㅋㅋ망했다고? 미래가 없다고?

그럴리가, 네가 보고 있는게 미래이며 네가 느끼고있는 이 감각이 앞으로의 지향점이다"
문명특급 보고 왔어요 문특에서 5인 완전체로도 보고 싶어요!!!,문명특급 보고 왔어요 문특에서 5인 완전체로도 보고 싶어요!!!
"좋아하는 데 자꾸 이유를 묻고 설명을 요구하는데, 이쪽도 왜 좋아하는지 설명하기 어려움. 단순히 아이돌을 좋아했어서 / 오타쿠라서 플레이브에 입덕했냐고하면 그것도 아니라서 ... 난 아이돌도 2D도 전부 덕질해봤지만 플레이브처럼 깊이 뭘 동경하고 아끼고 사랑해본 적이 없음. 버추얼 특유의 비주얼이나 실력이 입덕 계기가 될 수 있겠지만, 탈덕을 막는 요소는 결국 그 안에 있는 사람이 가진 인간미가 아닐까 싶다. 플레이브와 플리사이의 깊은 사랑과 팬들간의 짙은 소속감도 한 몫 하고. 단순히 외모나 그사람의 능력, 그리고 취향 만으로는 이렇게 좋아할 수가 없음. 
플레이브를 좋아한다는 것을 가지고 감히 이상하다고, 별로라고 말할 이유는 없다고 생각함.
어차피 똑같은 사람이고 똑같은 덕질인데..색안경끼고 볼 게 아니라 이런 가수도, 이런 팬도 있다고 받아들이든지 싫으면 그냥 지나가든지 했으면 좋겠다..
그리고 늦었을 때 늦은거라고 입덕은 빨리 하는게 최고더라 ..입덕 부정 그만하고, 그만 욕하고 빨리 앨범사 라이브 봐 스밍해","좋아하는 데 자꾸 이유를 묻고 설명을 요구하는데, 이쪽도 왜 좋아하는지 설명하기 어려움. 단순히 아이돌을 좋아했어서 / 오타쿠라서 플레이브에 입덕했냐고하면 그것도 아니라서 ... 난 아이돌도 2D도 전부 덕질해봤지만 플레이브처럼 깊이 뭘 동경하고 아끼고 사랑해본 적이 없음. 버추얼 특유의 비주얼이나 실력이 입덕 계기가 될 수 있겠지만, 탈덕을 막는 요소는 결국 그 안에 있는 사람이 가진 인간미가 아닐까 싶다. 플레이브와 플리사이의 깊은 사랑과 팬들간의 짙은 소속감도 한 몫 하고. 단순히 외모나 그사람의 능력, 그리고 취향 만으로는 이렇게 좋아할 수가 없음. 
플레이브를 좋아한다는 것을 가지고 감히 이상하다고, 별로라고 말할 이유는 없다고 생각함.
어차피 똑같은 사람이고 똑같은 덕질인데..색안경끼고 볼 게 아니라 이런 가수도, 이런 팬도 있다고 받아들이든지 싫으면 그냥 지나가든지 했으면 좋겠다..
그리고 늦었을 때 늦은거라고 입덕은 빨리 하는게 최고더라 ..입덕 부정 그만하고, 그만 욕하고 빨리 앨범사 라이브 봐 스밍해"
"요즘 데뷔하는 다른 그룹들에겐 없고 플레이브에겐 있는 것이 뭔지 진지하게 고민해봤는데 아무래도 낭만인거 같음
케이팝 위상이 엄청 높아진 요즘에... 잘생기고 실력 좋은 아이돌은 정말 많지만, 그만큼 갈고닦인 모습만 보여야하고 본인들이 하고 싶은 음악보다는 상품성에 치중된 경우가 더 많이 보임...
근데 플레이브는 꿈도 재능도 많지만 펼칠 기회가 없었던 아이들이 모여서 누구도 생각하지 못했던 길로, 자기들이 하고싶은 음악을 보여주고 있다는 낭만이 있음
그래서인지 아이돌들 투룸 빌라에서 다닥다닥 붙어 숙소 생활하던 시절에 덕질하던 사람들이 다시금 케이팝에 돌아오게 하고 있는것 아닐까
유독 오래전에 돌판 떠났던 사람들이 플레이브 판에 많아서 생각해봄","요즘 데뷔하는 다른 그룹들에겐 없고 플레이브에겐 있는 것이 뭔지 진지하게 고민해봤는데 아무래도 낭만인거 같음
케이팝 위상이 엄청 높아진 요즘에... 잘생기고 실력 좋은 아이돌은 정말 많지만, 그만큼 갈고닦인 모습만 보여야하고 본인들이 하고 싶은 음악보다는 상품성에 치중된 경우가 더 많이 보임...
근데 플레이브는 꿈도 재능도 많지만 펼칠 기회가 없었던 아이들이 모여서 누구도 생각하지 못했던 길로, 자기들이 하고싶은 음악을 보여주고 있다는 낭만이 있음
그래서인지 아이돌들 투룸 빌라에서 다닥다닥 붙어 숙소 생활하던 시절에 덕질하던 사람들이 다시금 케이팝에 돌아오게 하고 있는것 아닐까
유독 오래전에 돌판 떠났던 사람들이 플레이브 판에 많아서 생각해봄"
다른거보다 작곡이 ㄹㅇ 지림.. 밴드사운드를 너무 잘쓰는듯 이번에 룩삼님 음감회 보면서 다시한번 느낌,다른거보다 작곡이 ㄹㅇ 지림.. 밴드사운드를 너무 잘쓰는듯 이번에 룩삼님 음감회 보면서 다시한번 느낌
"타팬인데 이번노랜 정말 누구나 인정해야하긴 할것같네요. 보컬들도 다 좋고 가사를 직접쓰는건 진짜 리스펙합니다. 노아 베텔기우스 커버때 흠칫하긴했는데 이번노래 진짜 잘 나왔네요
응원합니다","타팬인데 이번노랜 정말 누구나 인정해야하긴 할것같네요. 보컬들도 다 좋고 가사를 직접쓰는건 진짜 리스펙합니다. 노아 베텔기우스 커버때 흠칫하긴했는데 이번노래 진짜 잘 나왔네요
응원합니다"
