Comment,Keyword
"생활 패턴 다 망가져가며
음원에 뮤비까지 제작하고
각자 개인 방송까지
이세돌 멤버들 방송 흥한 것부터",Noun
오디션한다는 소식 첨들엇을때는 아직 한국에선 힘들거 같다며 눈돌렸었습니다 부끄럽네요 자기가 좋아하는거 조차 벽을 치고있다는게 늦게라도 응원합니다 모두 멋진분들이네요,Noun
"왁형은 진짜 뭘까
노가리로 입덕해서
노가리 마인크래프트 등 외수용 컨텐츠만 찍먹하다가
점점 모든 영상들을 보게 되고",Noun
"음악이 좋다고 느끼는 사람은 유튜브팬치거나 알고리즘으로 접하는 사람들이고 눈물이 난다는 사람들은 이세돌 성장과정을 지켜본 사람들일듯 
이세돌들의 노력과 그 연습과정들이 가장 최고의 모습으로 개화한 느낌",Noun
아니 근데 어떻게 스트리머가 이렇게 큰 프로젝트를 기획하고 실행한 거지 미쳤네 진짜솔직히 이세돌 첨 한다 했을 때 이렇게 퀄리티가 있을 줄 몰랐음난 고멤의 연장선 느낌일 줄 알았는데,Noun
몇년전부터 왁굳님 생방과 유튜브 영상을 가끔씩 챙겨본 시청자 입니다 며칠전 유튜브 인기탭에 리와인드가 떠서 반가운 마음에 시청했습니다 처음엔 노래가 너무 좋아서 보는데 뭔가 눈물이 나려고 하는 제 감정이 신기했습니다 그러다 문득 며칠후 다시 리와인드가 생각나 오늘 새벽까지 이세돌 멤버분들 히스토리를 다 챙겨보고 다시 리와인드를 시청했습니다 최근 봤던 어떤 콘텐츠 음악보다 더 큰 감동을 받았습니다 특히 릴파님이 본인은 뭘해도 안되는 존재로 생각했다가 음원차트 위를 하고 꿈에서만 그렸던 일이 현실로 일어났다는 말에 저도 모르게 펑펑 울었습니다 다시 한번 제 꿈을 되돌아보게 되었습니다 감사합니다 왁굳님의 기획력에 감탄했습니다 모든 스탭분들 멤버분들 고생하셨습니다 좋은 음악 좋은 뮤비 감사합니다,Noun
리와인드 치트키인게 시간이 가면갈수록 추억이 쌓여가서 시간 지날때마다 노래가 계속 다르게 들림,Noun
데뷔곡을 리와인드로 고른 객관안에 박수를,Noun
"년전부터 덕질부터 빠순질까지 다 해봤는데 이 뮤비보면서 두 가지 다해본 사람의 니즈를 충족시킨다는 걸 알 수 있음
이세돌 덕질하고싶어져서 나중에 팬미팅 참가할 수있으면 브이알 기기까지 사서 참가하고싶음 돌덕질 할때 팬미팅 가려면 만원 쏟는 사람도 있는게 이거라고 뭔들  나중에 팬미팅 또 안하시나요  명 다좋아요 ",Noun
근데 진짜 리와인드랑 이번 집은 스밍 목적이 아니어도 계속 듣게 된다 내가 한곡에 빠지면 하루에도 몇십번씩 듣는데 항상 커버든 공식이든 중독성이 대박임 앞으로도 노래 많이 내 주세요 킹아,Noun
