Word,Frequency,state
본질,12,긍정적
거리,12,부정적
빠져들다,12,긍정적
달,12,긍정적
버튜버,12,긍정적
뛰다,12,긍정적
낯선,12,긍정적
걱정,12,긍정적
기도,12,긍정적
잊다,12,부정적
손,12,긍정적
야하다,12,긍정적
걸다,12,긍정적
이기,12,긍정적
가사도,12,긍정적
햄,12,부정적
삶,12,긍정적
무시,12,긍정적
플하,12,긍정적
먼저,12,긍정적
진입,12,긍정적
당신,12,긍정적
추천,12,긍정적
행복,12,긍정적
막,12,긍정적
아침,12,긍정적
어제,12,긍정적
콘서트,12,긍정적
여,12,긍정적
찬,12,긍정적
퀄,12,긍정적
노랑,12,긍정적
연습,12,긍정적
소통,12,긍정적
소중하다,12,부정적
음색,12,긍정적
벌써,12,긍정적
동네,12,긍정적
스스로,12,긍정적
놀람,12,긍정적
빛,12,긍정적
컴백,12,긍정적
새,12,긍정적
아쉽다,12,긍정적
평생,12,긍정적
장점,12,긍정적
뿐,12,긍정적
위해,12,긍정적
고,12,긍정적
전곡,12,긍정적
뿌듯하다,12,긍정적
자랑,12,긍정적
여기다,12,긍정적
대박,12,긍정적
재밌다,12,긍정적
버블,12,긍정적
귀,12,긍정적
외계인,12,긍정적
뷰,12,긍정적
일이,12,긍정적
베이스,12,부정적
감정,12,부정적
보내다,12,긍정적
나서다,12,긍정적
매번,12,긍정적
밤,12,긍정적
베텔기우스,10,부정적
은호,10,긍정적
깔다,10,긍정적
걸리다,10,긍정적
가능하다,10,부정적
네,10,긍정적
전성기,10,긍정적
보임,10,긍정적
겉모습,10,긍정적
포인트,10,긍정적
투표,10,긍정적
닮다,10,긍정적
리스닝,10,긍정적
이르다,10,긍정적
담다,10,긍정적
굳이,10,긍정적
귀하다,10,긍정적
안녕하다,10,긍정적
무섭다,10,긍정적
마케팅,10,긍정적
미래,10,긍정적
인,10,긍정적
요소,10,긍정적
사이,10,긍정적
색안경,10,긍정적
끼,10,긍정적
싫다,10,긍정적
최고,10,긍정적
잘생기다,10,긍정적
기회,10,긍정적
리,10,긍정적
분야,10,긍정적
요새,10,긍정적
아프다,10,긍정적
몇개,10,긍정적
파다,10,긍정적
아예,10,긍정적
국내,10,긍정적
아래,10,긍정적
금,10,긍정적
다섯,10,긍정적
이쁘다,10,긍정적
본진,10,긍정적
바,10,긍정적
꽃길,10,긍정적
머글,10,긍정적
생소하다,10,긍정적
즐기다,10,긍정적
객관,10,긍정적
단단하다,10,긍정적
빌보드,10,긍정적
로만,10,긍정적
향수,10,긍정적
짐,10,긍정적
일단,10,긍정적
가깝다,10,긍정적
흘리다,10,긍정적
안좋다,10,긍정적
애니,10,긍정적
평가,10,긍정적
증명,10,긍정적
못,10,긍정적
놓다,10,긍정적
수많다,10,긍정적
핑크,10,긍정적
고생,10,긍정적
최애,10,긍정적
잇다,10,긍정적
인정받다,10,긍정적
편안하다,10,부정적
봄바람,10,긍정적
움,10,긍정적
레전드,10,긍정적
분명,10,긍정적
내내,10,긍정적
공짜,10,긍정적
청량하다,10,부정적
내려가다,10,긍정적
배경,10,긍정적
숨다,10,긍정적
힘드다,10,긍정적
나르다,10,긍정적
넘치다,10,긍정적
보시,10,긍정적
부탁드리다,10,긍정적
바꾸다,10,긍정적
만해,10,긍정적
관계,10,긍정적
높이,10,긍정적
쓸다,10,긍정적
겁나다,10,긍정적
컨셉,10,긍정적
뮤직비디오,10,긍정적
저희,10,긍정적
절대,10,긍정적
당하다,10,긍정적
끼리,10,긍정적
주년,10,긍정적
뜨겁다,10,긍정적
댄스,10,부정적
다가오다,10,긍정적
길이,10,부정적
가상,10,긍정적
빛나다,10,부정적
무언가,10,긍정적
쭉,10,긍정적
하이,10,긍정적
후,10,긍정적
카페,10,긍정적
짱,10,긍정적
찰떡,10,긍정적
빤짝,10,긍정적
형태,10,긍정적
볼때,10,긍정적
비,10,긍정적
디렉팅,8,긍정적
랩,8,긍정적
개다,8,긍정적
전세계,8,긍정적
스타트업,8,긍정적
선입견,8,긍정적
뮤지션,8,긍정적
마냥,8,긍정적
찾아듣다,8,부정적
타이틀,8,긍정적
한계,8,긍정적
너머,8,긍정적
보지,8,긍정적
당황,8,긍정적
스럽다,8,긍정적
서투르다,8,긍정적
잠깐,8,긍정적
감히,8,긍정적
추다,8,긍정적
바쁘다,8,긍정적
스타일,8,긍정적
공중파,8,긍정적
멜론,8,긍정적
차트,8,긍정적
설명,8,긍정적
단순하다,8,긍정적
그것,8,긍정적
깊이,8,긍정적
적,8,긍정적
특유,8,긍정적
수가,8,긍정적
고민,8,긍정적
경우,8,긍정적
밴드,8,긍정적
타팬,8,긍정적
스펙,8,긍정적
룩삼,8,긍정적
부터,8,긍정적
팝,8,긍정적
순수하다,8,긍정적
편지,8,긍정적
말씀,8,긍정적
상당하다,8,긍정적
비난,8,긍정적
괜찮다,8,긍정적
작년,8,긍정적
묘,8,긍정적
등,8,긍정적
성과,8,긍정적
낼,8,긍정적
들어서다,8,긍정적
뽑다,8,긍정적
