Comment,Likes
남자인 내가 남자아이돌에 빠질 줄은 앨범까지 삼 그냥 평플해,608
"난 남자고 버츄얼에 대한 관심도 없었고 단지 이번에도 음방위했다길래 뭐길래하고 들어온 건데 노래듣고 숨이 턱 막혔음 뒷통수 맞은느낌 너무 좋고 잘 불러서 놀람 참 그동안 버츄얼에 갖고있었던 선입견에 대해 쪽팔리기도 하고 반성하게 됌  다른노래도 들어봤는데 심지어 다 좋고 실력도 너무좋음 그리고 이것을 보여주기 위해 보이지 않은곳에서 수많은 노력을 했을 것을 생각하니 스스로가 부끄러워졌음 무튼 앞으로도 잘 됐으면 함 미안한만큼 더 노래는 진짜 자주 들을듯 사실 지금도 계속 재생 중 아마 나처럼 보러왔거나 선입견있던 사람은 내가 무슨말을 하는건지 알거임이상하게 노래마다 감동이 있음 이 감동이 분명 익숙하진 않은데 그렇다고 처음은 아닌 요즘은 찾기 힘든 어렸을적 한번쯤은 느꼈지만 잊고 있었던 그런 감동

 댓글에 의심이 많은데 남자맞습니다  롤 피파 발라드 겁나 좋아하는 승선근무예비역 개띠 예비군년차 맞아요 안믿기면 겜한판 같이 하시던가
노래가 진짜 존나좋아서 좋다했는데 잘못인가요   걍 느낀 그대로 말한거임원래 발라드충인데 하루 한번이상 듣는중입니다 여섯번째여름메리플리스마스기다릴게우리영화왜요왜요왜 다들어봄 이것들도 그냥 말이안댐 진짜 개좋음",598
"솔직히 버츄얼 장르 무시했었는데 등 소식에 와봤더니 세상에 제가 많이 들었던 노래가 흘러나오네요
뉴스 접하고 버츄얼아이돌이 등 세상이 어떻게 되려고 그러나 하고 코웃음 친 제가 부끄럽습니다 오픈마인드로 다양한 장르를 수용해야함을 뼈저리게 느끼는 하루네요 노래 너무 좋습니다",590
"와 개쩌네 버츄얼 아이돌이 음악방송 위라니
역사를 쓰고 있는 중 ",577
버추얼이 가수냐 하는 사람들도 있던데 본인들이 춤추고 노래하고 작사작곡 프로듀싱 안무창작까지 다 하는데 이게 가수가 아니면 뭐란 말임 이정도로 음악적 참여도 높은 아이돌이 돌판에 몇팀이나 된다고,575
낼모레 마흔 아저씨도 영상보고 대박넊낌 왓다 대박 노래 개좋네  흥해라,572
"대기업나와서 블래스트라는 회사를 만들어준 윌대표님께 감사 적자가 나더라도 외주를 뛰어서라도 투자할 계획이었다던 초창기 창립멤버들에게 감사 너무나 빠른 속도로 기술력을 갱신해내는 개발자분들께 감사 커버곡이미지부터 이팩트 뮤비 디자인 너무 예쁘게 잘 뽑아주는 디뚝스와 주회시간씩 저녁라이브 스케쥴을 소화해내고 매일 야근한다는 뚝스들에게 감사드립니다
그리고 플레이브의 첫 멤버가 되어준 예준이와 예준이를 믿고 선뜻 함께하겠다고 해준 은호와 노아 너무너무 고마워요 작곡즈들의 재능과 노력으로 넘 좋은 음악 듣게 되어서 행복합니다 그리고 낯선 개념과 낯선 사람들에 대한 걱정을 뒤로하고 플레이브에 합류해준 우리 안무가 밤비도 너무 고맙습니다 밤비 매력 덕분에 입덕부정기 금새 극복핬어요  마지막으로 하민이로 인해 플레이브가 완성되고 사람들 앞에 나올 수 있었다는 말에 전적으로 동의해요 모션캡쳐 기술력의 발전과 가능성을 하민이를 통해서 여실히 느끼고 있어요 돌려차기로 내 심장 돌려차줘서 넘 고맙고 우리 다섯 멤버들 더더더더더 성공할거예요 블래스트 주식 상장해서 제 전재산 다 거는 날까지 더 달려봅시당",566
버추얼 아이돌이란 이유로 자신들이 받는 비난은 괜찮지만 팬들이 받는 비난은 아프다고 더 열심히 하겠다던 말듣고 찡했었는데 말뿐만이 아닌 결과물로 보여주는 플레이브 뼈 갈아서 만든게 너무 잘보인다 정말 흠잡을 곳이 하나 없는 앨범이야 플리가 된게 너무 자랑스럽다 얘들아,560
새로운 트렌드를 여는 처음 스타트 주자라 많이 힘들었을텐데 노래로 사람들을 사로 잡아 인정받는 모습이 대단하다고 생각해요  새로운 케이팝의 신드롬이 탄생될 것 같습니다 응원합니다,560
기다릴게부터 입문한 남플리 인데 이번곡 너무 좋아서 처음으로 앨범도 샀어요 플레이브화이팅,552
"남자인데 예전에 왜요왜요왜부터 숏츠나 유튜브에 떠서 종종 봐왔는데 노래 좋고 자꾸 생각나서 신곡 나온 소식 듣고 처음으로 검색해서 봄 역시 노래 좋고 그 뒤로 플레이브 노래 타이틀은 다운 받아서 들었음 팬은 모르겠지만 응원하겠음

핑크머리분예채봉구라는 이름에 맞게 귀여우시네요",551
노래 좋은데요 버츄얼이라고 요즘 시대에 굳이 색안경 끼고 보는 사람들이 오히려 이해 안 되네요,551
"여러분 지금 우리 애들 인기 너무 많아져서 특정 커뮤니티에서 좌표 찍고 악플 달러 오시는거 같습니다
우리 애들 실력 플리들이 젤 잘 아는데 아무것도 모르고 욕만 하는 애들 댓글이 뭐가 무섭나요이게 우리 돌고래가 말해준 바이럴 마케팅 이라는거겠죠
조회수 올라가면 행복해지는건 우리입니다반갑게 환영하고 깔끔하게 신고해요
이 좋은날 행복하게 마무리해요",547
하 진심 작년에 입덕부정기 없이 바로 입덕한 게 살면서 젤 잘한일임,535
이세돌 팬인데 플레이브님들은 진짜 잘 됐으면 좋겠어요 최전선에서 온갖 억까 견뎌내면서 버추얼 그룹에 대한 인식을 많이 개선해주시는 분들이라 서로 같이 힘냅시다 화이팅,534
기사보고 뭔가싶어서 봤는데 나쁘지 않네 라던가 배경도 되게 자연스럽다 음원도 깔끔한것같고 버츄얼로 위먹은데는 이유가 있구나,529
"노래 안무 자체제작이라는데 오히려 좋아
노래가 좋아서 전곡 다 챙겨듣고 있고 다음 노래들도 기대됨  오래오래 활동해줬으면 하는 그룹",528
